doctor_id,name,specialization,years_experience,department,availability_status
106,Dr. Joshi,Pediatrics,13,General,Unavailable
107,Dr. Reddy,Dermatology,3,General,Available
108,Dr. Sharma,Orthopedics,16,Surgery,Available
109,Dr. Patel,Neurology,5,Surgery,Unavailable
110,Dr. Iyer,Neurology,39,Surgery,Available
111,Dr. Khan,Cardiology,4,Surgery,Unavailable
112,Dr. Reddy,Dermatology,3,Surgery,Available
113,Dr. Reddy,Cardiology,6,OPD,Available
114,Dr. Mehta,Radiology,36,OPD,Unavailable
115,Dr. Joshi,Pediatrics,15,Surgery,Available
116,Dr. Reddy,Pediatrics,37,OPD,Unavailable
117,Dr. Patel,Pediatrics,1,Surgery,Unavailable
118,Dr. Khan,Psychiatry,29,Surgery,Unavailable
119,Dr. Mehta,Psychiatry,29,Emergency,Available
120,Dr. Khan,Radiology,14,Surgery,Unavailable
121,Dr. Patel,Radiology,14,General,Unavailable
122,Dr. Khan,Orthopedics,16,OPD,Unavailable
123,Dr. Iyer,Pediatrics,27,General,Available
124,Dr. Gupta,Dermatology,35,General,Available
125,Dr. Reddy,Orthopedics,3,Surgery,Available
126,Dr. Khan,Pediatrics,24,Surgery,Unavailable
127,Dr. Gupta,Radiology,33,OPD,Available
128,Dr. Patel,Orthopedics,12,Emergency,Available
129,Dr. Gupta,Cardiology,12,General,Available
130,Dr. Gupta,Psychiatry,27,General,Unavailable
131,Dr. Khan,Pediatrics,14,General,Available
132,Dr. Reddy,Psychiatry,38,Surgery,Unavailable
133,Dr. Joshi,Pediatrics,3,Emergency,Unavailable
134,Dr. Das,Dermatology,23,OPD,Available
135,Dr. Reddy,Pediatrics,30,OPD,Available
136,Dr. Khan,Orthopedics,26,Surgery,Available
137,Dr. Reddy,Dermatology,32,Surgery,Unavailable
138,Dr. Iyer,Cardiology,7,Surgery,Unavailable
139,Dr. Joshi,Radiology,18,Emergency,Available
140,Dr. Joshi,Neurology,15,Emergency,Available
141,Dr. Joshi,Neurology,9,General,Available
142,Dr. Mehta,Radiology,21,General,Available
143,Dr. Patel,Psychiatry,25,Surgery,Unavailable
144,Dr. Reddy,Dermatology,13,OPD,Available
145,Dr. Khan,Radiology,33,Surgery,Available
146,Dr. Iyer,Orthopedics,15,General,Unavailable
147,Dr. Khan,Radiology,33,OPD,Available
148,Dr. Khan,Dermatology,31,General,Available
149,Dr. Gupta,Dermatology,22,OPD,Available
150,Dr. Das,Neurology,31,Emergency,Unavailable
151,Dr. Khan,Neurology,22,OPD,Unavailable
152,Dr. Mehta,Radiology,38,,Unavailable
153,Dr. Reddy,Neurology,0,Emergency,Unavailable
154,Dr. Singh,Dermatology,26,OPD,Unavailable
155,Dr. Das,Cardiology,17,Emergency,Available
156,Dr. Patel,Neurology,21,OPD,Unavailable
157,Dr. Gupta,Orthopedics,38,OPD,Unavailable
158,Dr. Gupta,Dermatology,3,Emergency,Available
159,Dr. Reddy,Orthopedics,19,General,Available
160,Dr. Sharma,Radiology,36,OPD,Unavailable
161,Dr. Sharma,Dermatology,14,Surgery,Unavailable
162,Dr. Reddy,Dermatology,34,OPD,Unavailable
163,Dr. Sharma,Cardiology,19,General,Unavailable
164,Dr. Singh,Dermatology,1,Surgery,Unavailable
165,Dr. Sharma,Neurology,13,General,Available
166,Dr. Joshi,Orthopedics,13,Emergency,Available
167,Dr. Patel,Orthopedics,27,General,Available
168,Dr. Reddy,Neurology,9,Emergency,Available
169,Dr. Khan,Neurology,30,Surgery,Unavailable
170,Dr. Iyer,Cardiology,33,Surgery,Available
171,Dr. Iyer,Dermatology,39,OPD,Available
172,Dr. Das,Radiology,22,Emergency,Unavailable
173,Dr. Sharma,Orthopedics,32,,Unavailable
174,Dr. Das,Psychiatry,21,Surgery,Available
175,Dr. Singh,Dermatology,9,General,Unavailable
176,Dr. Mehta,Pediatrics,35,Emergency,Unavailable
177,Dr. Reddy,Orthopedics,13,OPD,Unavailable
178,Dr. Das,Dermatology,17,Emergency,Available
179,Dr. Patel,Psychiatry,20,Surgery,Unavailable
180,Dr. Das,Pediatrics,1,Emergency,Unavailable
181,Dr. Iyer,Dermatology,4,General,Unavailable
182,Dr. Singh,Psychiatry,34,Surgery,Unavailable
183,Dr. Sharma,Radiology,34,General,Available
184,Dr. Iyer,Radiology,38,General,Available
185,Dr. Khan,Radiology,30,General,Unavailable
186,Dr. Reddy,Orthopedics,2,General,Available
187,Dr. Mehta,Radiology,36,General,Unavailable
188,Dr. Iyer,Pediatrics,26,Surgery,Available
189,Dr. Patel,Neurology,30,OPD,Unavailable
190,Dr. Khan,Cardiology,20,General,Available
191,Dr. Mehta,Pediatrics,11,Surgery,Unavailable
192,Dr. Joshi,Pediatrics,23,Surgery,Available
193,Dr. Joshi,Radiology,12,OPD,Available
194,Dr. Patel,Dermatology,13,General,Unavailable
195,Dr. Reddy,Orthopedics,22,General,Unavailable
196,Dr. Joshi,Psychiatry,16,General,Unavailable
197,Dr. Patel,Pediatrics,21,General,Available
198,Dr. Das,Dermatology,37,Surgery,Unavailable
199,Dr. Reddy,Dermatology,0,Surgery,Unavailable
200,Dr. Reddy,Psychiatry,29,General,Unavailable
201,Dr. Sharma,Pediatrics,26,Surgery,Available
202,Dr. Reddy,Pediatrics,23,Surgery,Unavailable
203,Dr. Singh,Orthopedics,11,Surgery,Unavailable
204,Dr. Mehta,Radiology,32,General,Available
205,Dr. Gupta,Orthopedics,12,Emergency,Available
206,Dr. Khan,Pediatrics,29,Surgery,Available
207,Dr. Khan,Radiology,38,Surgery,Available
208,Dr. Joshi,Psychiatry,36,OPD,Unavailable
209,Dr. Singh,Neurology,31,General,Unavailable
210,Dr. Das,Radiology,6,Emergency,Available
211,Dr. Khan,Orthopedics,16,General,Unavailable
212,Dr. Das,Cardiology,23,,Available
213,Dr. Joshi,Psychiatry,11,General,Unavailable
214,Dr. Gupta,Psychiatry,31,OPD,Unavailable
215,Dr. Sharma,Radiology,11,,Available
216,Dr. Singh,Cardiology,31,General,Available
217,Dr. Mehta,Neurology,31,Surgery,Unavailable
218,Dr. Singh,Pediatrics,11,Surgery,Available
219,Dr. Mehta,Radiology,8,General,Unavailable
220,Dr. Mehta,Dermatology,36,OPD,Available
221,Dr. Sharma,Cardiology,4,Surgery,Unavailable
222,Dr. Mehta,Radiology,35,General,Available
223,Dr. Singh,Pediatrics,31,General,Available
224,Dr. Gupta,Cardiology,12,OPD,Unavailable
225,Dr. Sharma,Cardiology,25,Surgery,Unavailable
226,Dr. Reddy,Psychiatry,21,Emergency,Available
227,Dr. Das,Neurology,4,General,Unavailable
228,Dr. Khan,Orthopedics,3,,Unavailable
229,Dr. Gupta,Cardiology,10,Emergency,Unavailable
230,Dr. Sharma,Psychiatry,39,Emergency,Unavailable
231,Dr. Joshi,Radiology,2,Emergency,Available
232,Dr. Khan,Radiology,15,General,Available
233,Dr. Singh,Cardiology,7,Surgery,Unavailable
234,Dr. Iyer,Radiology,20,Emergency,Unavailable
235,Dr. Joshi,Cardiology,31,Emergency,Unavailable
236,Dr. Gupta,Cardiology,27,Emergency,Unavailable
237,Dr. Reddy,Dermatology,22,Emergency,Unavailable
238,Dr. Mehta,Orthopedics,21,Surgery,Available
239,Dr. Gupta,Neurology,18,Surgery,Unavailable
240,Dr. Khan,Dermatology,20,Surgery,Unavailable
241,Dr. Das,Cardiology,14,OPD,Unavailable
242,Dr. Das,Cardiology,2,Surgery,Available
243,Dr. Singh,Psychiatry,29,,Available
244,Dr. Sharma,Pediatrics,2,General,Unavailable
245,Dr. Gupta,Psychiatry,27,Emergency,Unavailable
246,Dr. Khan,Radiology,5,General,Available
247,Dr. Sharma,Pediatrics,34,Surgery,Unavailable
248,Dr. Iyer,Cardiology,9,Emergency,Unavailable
249,Dr. Reddy,Dermatology,3,General,Unavailable
250,Dr. Patel,Cardiology,13,Surgery,Available
251,Dr. Mehta,Psychiatry,33,OPD,Available
252,Dr. Singh,Dermatology,16,OPD,Available
253,Dr. Khan,Orthopedics,29,OPD,Unavailable
254,Dr. Khan,Pediatrics,20,General,Unavailable
255,Dr. Khan,Pediatrics,9,Surgery,Available
256,Dr. Iyer,Neurology,36,Emergency,Available
257,Dr. Gupta,Dermatology,0,Surgery,Unavailable
258,Dr. Sharma,Cardiology,6,Emergency,Unavailable
259,Dr. Joshi,Neurology,14,Emergency,Available
260,Dr. Reddy,Psychiatry,23,General,Unavailable
261,Dr. Singh,Psychiatry,37,Emergency,Available
262,Dr. Gupta,Orthopedics,14,General,Available
263,Dr. Gupta,Neurology,12,Emergency,Available
264,Dr. Patel,Neurology,11,General,Unavailable
265,Dr. Singh,Dermatology,1,Surgery,Available
266,Dr. Iyer,Psychiatry,5,Surgery,Available
267,Dr. Mehta,Neurology,0,OPD,Unavailable
268,Dr. Iyer,Neurology,21,Surgery,Unavailable
269,Dr. Reddy,Psychiatry,23,Emergency,Unavailable
270,Dr. Reddy,Neurology,17,Emergency,Available
271,Dr. Reddy,Dermatology,10,General,Unavailable
272,Dr. Joshi,Orthopedics,11,Surgery,Available
273,Dr. Sharma,Orthopedics,37,Emergency,Unavailable
274,Dr. Singh,Cardiology,4,Emergency,Available
275,Dr. Patel,Neurology,12,General,Available
276,Dr. Khan,Psychiatry,3,OPD,Unavailable
277,Dr. Reddy,Psychiatry,8,OPD,Unavailable
278,Dr. Patel,Neurology,20,Surgery,Unavailable
279,Dr. Reddy,Radiology,34,General,Available
280,Dr. Gupta,Cardiology,29,Emergency,Available
281,Dr. Iyer,Psychiatry,25,Emergency,Unavailable
282,Dr. Reddy,Cardiology,15,,Unavailable
283,Dr. Gupta,Orthopedics,5,Emergency,Available
284,Dr. Joshi,Pediatrics,10,Surgery,Available
285,Dr. Mehta,Radiology,32,General,Available
286,Dr. Sharma,Neurology,37,General,Available
287,Dr. Patel,Psychiatry,0,General,Unavailable
288,Dr. Patel,Dermatology,35,Emergency,Unavailable
289,Dr. Khan,Radiology,37,Surgery,Available
290,Dr. Iyer,Dermatology,30,Surgery,Unavailable
291,Dr. Gupta,Radiology,23,Surgery,Available
292,Dr. Singh,Radiology,23,Surgery,Unavailable
293,Dr. Khan,Psychiatry,9,Emergency,Unavailable
294,Dr. Iyer,Psychiatry,35,Surgery,Unavailable
295,Dr. Reddy,Radiology,20,Surgery,Available
296,Dr. Khan,Radiology,21,General,Unavailable
297,Dr. Gupta,Neurology,16,OPD,Available
298,Dr. Khan,Radiology,12,OPD,Unavailable
299,Dr. Sharma,Psychiatry,22,Surgery,Available
300,Dr. Sharma,Dermatology,17,OPD,Available
301,Dr. Das,Cardiology,30,General,Unavailable
302,Dr. Das,Orthopedics,38,Emergency,Available
303,Dr. Khan,Radiology,37,Surgery,Available
304,Dr. Joshi,Dermatology,33,Surgery,Available
305,Dr. Patel,Psychiatry,25,General,Available
306,Dr. Gupta,Neurology,18,Emergency,Available
307,Dr. Sharma,Psychiatry,8,General,Unavailable
308,Dr. Sharma,Radiology,0,Surgery,Unavailable
309,Dr. Joshi,Orthopedics,28,General,Unavailable
310,Dr. Khan,Cardiology,7,Emergency,Available
311,Dr. Mehta,Neurology,7,Surgery,Unavailable
312,Dr. Mehta,Dermatology,31,General,Unavailable
313,Dr. Reddy,Orthopedics,10,OPD,Available
314,Dr. Reddy,Pediatrics,17,Emergency,Available
315,Dr. Sharma,Neurology,21,OPD,Unavailable
316,Dr. Iyer,Radiology,36,OPD,Available
317,Dr. Singh,Cardiology,14,General,Unavailable
318,Dr. Das,Neurology,16,Surgery,Available
319,Dr. Mehta,Radiology,14,Emergency,Available
320,Dr. Joshi,Cardiology,21,General,Available
321,Dr. Khan,Neurology,7,Emergency,Unavailable
322,Dr. Patel,Pediatrics,29,Surgery,Unavailable
323,Dr. Mehta,Dermatology,16,Surgery,Available
324,Dr. Iyer,Pediatrics,20,General,Unavailable
325,Dr. Khan,Cardiology,39,General,Unavailable
326,Dr. Reddy,Radiology,34,Surgery,Available
327,Dr. Joshi,Pediatrics,5,OPD,Unavailable
328,Dr. Singh,Neurology,10,Emergency,Available
329,Dr. Joshi,Neurology,37,OPD,Available
330,Dr. Khan,Pediatrics,21,Emergency,Unavailable
331,Dr. Iyer,Pediatrics,35,,Unavailable
332,Dr. Das,Cardiology,37,General,Unavailable
333,Dr. Iyer,Neurology,17,Surgery,Unavailable
334,Dr. Das,Neurology,33,Emergency,Unavailable
335,Dr. Singh,Radiology,14,Emergency,Available
336,Dr. Joshi,Dermatology,15,Emergency,Unavailable
337,Dr. Sharma,Radiology,34,Surgery,Available
338,Dr. Iyer,Pediatrics,34,Surgery,Available
339,Dr. Sharma,Cardiology,33,Emergency,Available
340,Dr. Patel,Cardiology,30,Emergency,Available
341,Dr. Mehta,Psychiatry,3,Surgery,Available
342,Dr. Sharma,Cardiology,38,OPD,Available
343,Dr. Singh,Radiology,15,Emergency,Unavailable
344,Dr. Iyer,Neurology,14,General,Unavailable
345,Dr. Sharma,Radiology,28,Emergency,Unavailable
346,Dr. Mehta,Cardiology,16,General,Available
347,Dr. Patel,Pediatrics,35,Emergency,Available
348,Dr. Das,Orthopedics,6,Surgery,Unavailable
349,Dr. Joshi,Psychiatry,39,Surgery,Unavailable
350,Dr. Patel,Dermatology,12,Surgery,Available
351,Dr. Mehta,Neurology,21,Surgery,Available
352,Dr. Iyer,Neurology,39,Emergency,Unavailable
353,Dr. Singh,Cardiology,22,OPD,Unavailable
354,Dr. Singh,Dermatology,14,OPD,Unavailable
355,Dr. Mehta,Cardiology,0,Surgery,Unavailable
356,Dr. Khan,Cardiology,4,General,Unavailable
357,Dr. Sharma,Dermatology,22,Emergency,Unavailable
358,Dr. Gupta,Dermatology,33,Emergency,Unavailable
359,Dr. Khan,Orthopedics,21,Surgery,Available
360,Dr. Joshi,Cardiology,30,Emergency,Unavailable
361,Dr. Patel,Neurology,29,Surgery,Unavailable
362,Dr. Joshi,Orthopedics,19,General,Unavailable
363,Dr. Khan,Neurology,32,OPD,Available
364,Dr. Joshi,Dermatology,28,Emergency,Unavailable
365,Dr. Gupta,Pediatrics,15,Surgery,Unavailable
366,Dr. Iyer,Dermatology,29,OPD,Unavailable
367,Dr. Mehta,Cardiology,35,OPD,Unavailable
368,Dr. Joshi,Pediatrics,6,Emergency,Unavailable
369,Dr. Gupta,Orthopedics,30,General,Unavailable
370,Dr. Das,Cardiology,22,Surgery,Unavailable
371,Dr. Gupta,Psychiatry,26,Emergency,Available
372,Dr. Sharma,Pediatrics,26,OPD,Available
373,Dr. Joshi,Psychiatry,30,Emergency,Unavailable
374,Dr. Sharma,Orthopedics,35,Surgery,Unavailable
375,Dr. Khan,Dermatology,2,Surgery,Unavailable
376,Dr. Joshi,Psychiatry,7,General,Available
377,Dr. Gupta,Cardiology,12,General,Available
378,Dr. Joshi,Neurology,38,Surgery,Available
379,Dr. Joshi,Neurology,27,Surgery,Available
380,Dr. Patel,Neurology,20,OPD,Unavailable
381,Dr. Gupta,Psychiatry,6,Surgery,Available
382,Dr. Khan,Pediatrics,0,OPD,Available
383,Dr. Singh,Radiology,23,OPD,Available
384,Dr. Joshi,Orthopedics,36,Surgery,Available
385,Dr. Patel,Dermatology,27,Surgery,Available
386,Dr. Das,Orthopedics,37,Surgery,Available
387,Dr. Mehta,Cardiology,9,Emergency,Unavailable
388,Dr. Patel,Pediatrics,31,Surgery,Available
389,Dr. Sharma,Psychiatry,1,OPD,Unavailable
390,Dr. Gupta,Orthopedics,14,OPD,Unavailable
391,Dr. Patel,Dermatology,32,OPD,Available
392,Dr. Sharma,Cardiology,11,OPD,Unavailable
393,Dr. Gupta,Dermatology,18,Surgery,Available
394,Dr. Mehta,Cardiology,15,General,Available
395,Dr. Gupta,Radiology,8,General,Available
396,Dr. Sharma,Radiology,20,OPD,Available
397,Dr. Singh,Pediatrics,7,Emergency,Available
398,Dr. Mehta,Neurology,9,General,Available
399,Dr. Sharma,Psychiatry,32,Surgery,Unavailable
400,Dr. Das,Dermatology,39,Emergency,Unavailable
401,Dr. Patel,Pediatrics,17,OPD,Available
402,Dr. Iyer,Neurology,16,Emergency,Unavailable
403,Dr. Patel,Cardiology,11,OPD,Available
404,Dr. Patel,Cardiology,11,General,Available
405,Dr. Sharma,Neurology,32,Surgery,Available
406,Dr. Singh,Orthopedics,4,General,Available
407,Dr. Gupta,Pediatrics,22,General,Available
408,Dr. Iyer,Pediatrics,10,OPD,Available
409,Dr. Iyer,Cardiology,30,Surgery,Unavailable
410,Dr. Khan,Pediatrics,22,General,Unavailable
411,Dr. Singh,Pediatrics,30,Surgery,Available
412,Dr. Joshi,Dermatology,39,Surgery,Available
413,Dr. Sharma,Neurology,28,OPD,Available
414,Dr. Gupta,Cardiology,5,General,Unavailable
415,Dr. Khan,Pediatrics,37,OPD,Available
416,Dr. Joshi,Dermatology,32,OPD,Unavailable
417,Dr. Iyer,Pediatrics,1,General,Available
418,Dr. Singh,Cardiology,3,General,Available
419,Dr. Joshi,Cardiology,17,General,Available
420,Dr. Patel,Dermatology,31,OPD,Unavailable
421,Dr. Das,Psychiatry,11,Surgery,Available
422,Dr. Sharma,Orthopedics,30,Emergency,Available
423,Dr. Patel,Neurology,0,,Available
424,Dr. Reddy,Pediatrics,38,General,Available
425,Dr. Khan,Dermatology,6,Emergency,Unavailable
426,Dr. Singh,Neurology,0,OPD,Unavailable
427,Dr. Iyer,Cardiology,26,OPD,Available
428,Dr. Patel,Neurology,1,Emergency,Available
429,Dr. Das,Cardiology,20,Surgery,Available
430,Dr. Singh,Radiology,11,General,Unavailable
431,Dr. Iyer,Psychiatry,18,OPD,Available
432,Dr. Singh,Orthopedics,35,General,Unavailable
433,Dr. Khan,Neurology,6,Surgery,Unavailable
434,Dr. Das,Neurology,28,Surgery,Unavailable
435,Dr. Gupta,Radiology,5,Surgery,Unavailable
436,Dr. Joshi,Psychiatry,2,Surgery,Unavailable
437,Dr. Mehta,Radiology,2,Surgery,Available
438,Dr. Sharma,Orthopedics,30,Surgery,Unavailable
439,Dr. Patel,Orthopedics,13,OPD,Unavailable
440,Dr. Singh,Dermatology,17,General,Unavailable
441,Dr. Patel,Psychiatry,34,Surgery,Unavailable
442,Dr. Das,Radiology,13,General,Unavailable
443,Dr. Das,Neurology,25,OPD,Unavailable
444,Dr. Patel,Psychiatry,32,Surgery,Available
445,Dr. Das,Dermatology,30,,Available
446,Dr. Patel,Orthopedics,37,Emergency,Unavailable
447,Dr. Reddy,Radiology,39,OPD,Unavailable
448,Dr. Mehta,Psychiatry,21,Surgery,Available
449,Dr. Gupta,Orthopedics,30,Surgery,Available
450,Dr. Khan,Psychiatry,1,Emergency,Available
451,Dr. Sharma,Dermatology,19,General,Unavailable
452,Dr. Joshi,Cardiology,28,Surgery,Unavailable
453,Dr. Reddy,Pediatrics,10,OPD,Unavailable
454,Dr. Mehta,Orthopedics,39,,Unavailable
455,Dr. Sharma,Radiology,13,OPD,Unavailable
456,Dr. Khan,Pediatrics,7,Surgery,Available
457,Dr. Sharma,Radiology,0,Emergency,Available
458,Dr. Gupta,Radiology,27,OPD,Unavailable
459,Dr. Mehta,Dermatology,28,Emergency,Unavailable
460,Dr. Khan,Radiology,14,Surgery,Available
461,Dr. Patel,Dermatology,17,Surgery,Available
462,Dr. Sharma,Neurology,25,Surgery,Available
463,Dr. Singh,Dermatology,36,OPD,Unavailable
464,Dr. Patel,Dermatology,25,Emergency,Unavailable
465,Dr. Reddy,Pediatrics,37,Surgery,Available
466,Dr. Gupta,Psychiatry,13,General,Unavailable
467,Dr. Khan,Psychiatry,28,General,Available
468,Dr. Iyer,Dermatology,2,Emergency,Unavailable
469,Dr. Mehta,Dermatology,9,OPD,Available
470,Dr. Sharma,Neurology,25,OPD,Available
471,Dr. Mehta,Radiology,26,Emergency,Unavailable
472,Dr. Khan,Psychiatry,4,Emergency,Available
473,Dr. Reddy,Psychiatry,3,Surgery,Available
474,Dr. Iyer,Cardiology,33,General,Available
475,Dr. Singh,Orthopedics,15,Emergency,Unavailable
476,Dr. Reddy,Radiology,6,Surgery,Unavailable
477,Dr. Khan,Neurology,1,General,Available
478,Dr. Reddy,Psychiatry,7,General,Available
479,Dr. Reddy,Neurology,15,Surgery,Unavailable
480,Dr. Singh,Neurology,26,Emergency,Unavailable
481,Dr. Mehta,Pediatrics,27,OPD,Available
482,Dr. Mehta,Psychiatry,4,Surgery,Available
483,Dr. Sharma,Neurology,23,General,Unavailable
484,Dr. Iyer,Cardiology,4,General,Unavailable
485,Dr. Gupta,Psychiatry,7,General,Unavailable
486,Dr. Das,Pediatrics,13,Emergency,Available
487,Dr. Singh,Radiology,33,General,Available
488,Dr. Das,Cardiology,19,Emergency,Unavailable
489,Dr. Mehta,Cardiology,3,Surgery,Unavailable
490,Dr. Khan,Pediatrics,10,Emergency,Unavailable
491,Dr. Khan,Orthopedics,10,Emergency,Unavailable
492,Dr. Sharma,Pediatrics,34,Emergency,Available
493,Dr. Iyer,Psychiatry,32,Emergency,Available
494,Dr. Mehta,Psychiatry,7,Surgery,Available
495,Dr. Reddy,Psychiatry,18,OPD,Unavailable
496,Dr. Iyer,Orthopedics,17,General,Available
497,Dr. Gupta,Pediatrics,25,General,Unavailable
498,Dr. Reddy,Neurology,25,OPD,Unavailable
499,Dr. Joshi,Cardiology,19,OPD,Available
500,Dr. Gupta,Cardiology,4,Emergency,Unavailable
501,Dr. Sharma,Psychiatry,12,Surgery,Available
502,Dr. Joshi,Dermatology,20,Surgery,Available
503,Dr. Mehta,Pediatrics,24,General,Unavailable
504,Dr. Singh,Pediatrics,35,,Available
505,Dr. Das,Neurology,16,Emergency,Unavailable
506,Dr. Khan,Radiology,27,General,Unavailable
507,Dr. Gupta,Psychiatry,3,OPD,Unavailable
508,Dr. Reddy,Cardiology,36,Surgery,Available
509,Dr. Iyer,Neurology,31,Emergency,Available
510,Dr. Patel,Orthopedics,32,Emergency,Unavailable
511,Dr. Iyer,Dermatology,7,OPD,Available
512,Dr. Gupta,Radiology,14,Emergency,Unavailable
